warehouse_id,location_of_warehouse,product_id,stock_count,storage_cost_per_unit_perMonth
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0460,1665,7.4
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0353,1336,7.83
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0008,914,7.08
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0499,986,9.22
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0099,1347,12.15
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0120,763,6.5
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0483,391,5.46
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0426,1374,2.72
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0425,1437,6.62
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0287,1760,3.18
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0014,1359,5.85
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0140,1427,6.67
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0410,958,14.23
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0288,1184,6.67
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0142,1108,2.34
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0123,949,13.79
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0110,1239,12.76
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0325,1520,7.35
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0412,1927,12.83
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0497,843,5.56
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0406,1099,3.01
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0304,138,2.03
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0234,450,12.96
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0479,1292,8.8
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0325,229,9.01
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0157,1444,14.59
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0378,916,9.54
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0158,583,5.52
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0307,1568,4.77
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0202,347,13.26
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0449,1420,12.22
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0039,1409,3.29
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0104,150,2.48
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0015,850,10.29
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0053,1768,12.66
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0274,1991,13.13
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0111,1338,14.18
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0242,1791,6.37
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0203,946,9.14
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0310,123,6.63
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0151,1598,10.62
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0319,977,2.39
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0360,826,7.73
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0249,1644,10.31
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0487,1976,14.35
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0292,579,13.64
W003,"H.No. 421, Pathak Marg, Meppayur, KOZHIKODE, Kerala, 673524, India",P0456,684,3.01
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0086,1916,7.3
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0211,1277,4.87
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0466,359,7.63
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0195,1175,2.79
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0376,1532,8.86
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0274,1245,12.95
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0202,1494,2.48
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0449,1679,13.16
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0103,583,9.2
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0369,1048,12.94
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0126,1026,12.31
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0311,1312,5.29
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0185,1565,9.69
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0304,1873,6.31
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0175,1717,13.06
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0434,1342,9.46
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0258,262,5.85
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0079,151,8.62
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0477,407,6.83
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0391,1190,4.44
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0295,1557,5.99
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0241,811,8.22
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0342,1731,9.48
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0085,304,4.14
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0035,439,13.54
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0207,562,14.61
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0301,288,13.12
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0214,111,13.72
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0265,359,4.68
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0460,1180,5.23
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0300,1059,11.33
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0234,1943,11.19
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0238,1815,5.48
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0324,1677,11.36
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0025,1335,3.84
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0478,136,10.68
W004,"13/599, Sood Marg, Bommanahalli, Mandya, Karnataka, 571425, India",P0260,885,2.52
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0468,474,10.47
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0061,1783,3.17
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0405,140,14.95
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0325,745,14.83
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0125,1284,2.56
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0040,1198,12.77
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0427,1797,13.18
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0279,294,5.01
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0230,357,4.22
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0450,1952,4.71
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0276,1437,12.03
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0047,377,6.07
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0052,953,5.72
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0074,429,8.33
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0207,1834,2.79
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0156,237,12.75
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0248,1497,9.97
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0299,1539,3.66
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0098,725,2.06
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0124,1076,6.3
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0490,1459,3.57
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0229,322,7.77
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0099,1071,9.98
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0424,516,10.55
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0031,180,9.35
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0361,1822,5.62
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0225,1977,6.6
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0317,301,7.06
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0383,599,5.56
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0068,186,8.43
W005,"57, Mani Circle, Gairwah, JAUNPUR, Uttar Pradesh, 223103, India",P0123,795,11.59
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0373,132,14.2
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0229,269,9.82
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0011,212,9.93
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0257,997,11.63
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0450,1119,9.04
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0364,1384,5.88
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0281,452,11.42
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0140,1894,5.29
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0286,142,14.55
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0279,1767,12.65
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0354,168,4.13
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0256,1014,4.45
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0334,1680,8.1
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0438,282,10.68
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0198,1583,5.14
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0068,226,7.02
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0056,1801,13.02
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0172,1144,14.54
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0232,1934,3.67
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0456,1442,8.55
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0413,921,8.1
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0084,803,2.57
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0371,1894,2.83
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0233,865,14.68
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0157,1285,7.84
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0395,1875,12.37
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0404,1845,12.49
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0323,651,10.53
W006,"45, Sharaf, Neduva, MALAPPURAM, Kerala, 676303, India",P0492,865,3.75
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0065,1277,6.01
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0253,1210,8.33
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0223,376,9.45
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0466,1811,7.83
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0051,1606,9.59
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0033,1721,14.77
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0379,163,6.67
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0287,573,2.04
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0467,693,5.76
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0314,181,2.28
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0054,662,4.94
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0244,1019,11.23
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0380,888,9.97
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0317,962,4.94
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0219,962,10.52
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0347,1029,10.7
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0104,1486,3.19
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0427,227,6.68
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0268,1590,9.06
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0256,1318,12.69
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0140,513,3.74
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0012,310,7.6
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0120,1121,6.23
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0194,1970,7.82
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0266,1953,8.89
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0332,1490,10.01
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0271,493,8.15
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0434,563,2.38
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0269,1156,14.86
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0242,653,3.29
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0087,473,7.1
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0276,804,7.03
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0414,1586,5.23
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0229,1525,2.17
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0356,817,4.44
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0444,1509,11.51
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0086,416,9.27
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0181,496,9.9
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0218,880,4.59
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0321,1845,9.34
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0160,509,11.23
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0299,734,3.73
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0370,1142,10.67
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0301,229,9.31
W007,"H.No. 29, Pau Road, Tirunalur, PUDUKKOTTAI, Tamil Nadu, 614624, India",P0049,1373,8.52
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0012,1101,2.15
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0196,1879,8.62
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0156,1120,9.5
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0329,1566,10.07
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0265,430,3.35
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0070,1109,7.02
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0234,1824,11.57
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0486,1073,13.01
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0370,1120,9.2
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0409,594,4.33
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0398,594,12.58
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0053,240,8.38
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0153,1504,8.12
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0202,186,12.88
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0192,901,5.1
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0250,1492,14.2
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0347,1777,2.15
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0014,708,11.69
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0471,205,3.62
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0447,200,6.21
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0307,1910,2.49
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0381,393,9.44
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0377,1205,10.99
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0069,1222,10.69
W008,"239, Choudhry Street, Sanvordem, NORTH GOA, Goa, 403506, India",P0077,1649,9.1
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0417,1074,11.07
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0330,2000,14.21
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0464,937,12.33
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0311,1037,9.76
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0453,659,7.56
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0280,1068,4.32
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0305,162,12.09
W009,"H.No. 608, Chada Zila, Lakhwara, BARMER, Rajasthan, 344702, India",P0277,1220,9.08
